k, m_temp, e_temp, s0, s1, s2, s3
0, 1, 1, 0, 0, 0, 0
1, 1, 1, 0, 0, 0, 0
2, 1, 0, 0, 0, 0, 0
3, 1, 1, 0, 0, 0, 0
4, 1, 1, 0, 0, 0, 0
5, 1, 0, 0, 0, 0, 0
6, 1, 0, 0, 0, 0, 0
7, 1, 1, 0, 0, 0, 0
8, 1, 1, -178895, -176160, -54144464, -54141200
9, 2, 1, -178895, -176160, -54144464, -54141200
10, 2, 0, -178895, -176160, -54144464, -54141200
11, 2, 1, -178895, -176160, -54144464, -54141200
12, 2, 1, -178895, -176160, -54144464, -54141200
13, 2, 0, -178895, -176160, -54144464, -54141200
14, 2, 1, -178895, -176160, -54144464, -54141200
15, 2, 0, -178895, -176160, -54144464, -54141200
16, 1, 0, -2275822, -2277543, 27785888, 27779144
17, 1, 1, -2275822, -2277543, 27785888, 27779144
18, 1, 1, -2275822, -2277543, 27785888, 27779144
19, 1, 1, -2275822, -2277543, 27785888, 27779144
20, 1, 1, -1545008, -1546731, 37513028, 37512964
21, 1, 0, -1545008, -1546731, 37513028, 37512964
22, 1, 1, -1545008, -1546731, 37513028, 37512964
23, 1, 1, -1545008, -1546731, 37513028, 37512964
24, 1, 1, -794740, -796463, 37513448, 37513420
25, 1, 1, -794740, -796463, 37513448, 37513420
26, 1, 1, -794740, -796463, 37513448, 37513420
27, 1, 0, -794740, -796463, 37513448, 37513420
28, 1, 1, -44471, -46194, 37513432, 37513440
29, 1, 0, -44471, -46194, 37513432, 37513440
30, 1, 1, -44471, -46194, 37513432, 37513440
31, 1, 0, -44471, -46194, 37513432, 37513440
32, 1, 0, 331102, 335473, -81892888, -81883304
33, 1, 0, 331102, 335473, -81892888, -81883304
34, 1, 0, 331102, 335473, -81892888, -81883304
35, 1, 1, 331102, 335473, -81892888, -81883304
36, 1, 1, -1231251, -1232000, 5158761, 5150834
37, 1, 0, -1231251, -1232000, 5158761, 5150834
38, 2, 1, -1231251, -1232000, 5158761, 5150834
39, 2, 0, -1231251, -1232000, 5158761, 5150834
40, 2, 0, -1231251, -1232000, 5158761, 5150834
41, 2, 0, -1231251, -1232000, 5158761, 5150834
