k, s0, s1, s2, s3, s4
0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0
3, 0, 0, 0, 0, 0
4, -173495, -170760, -53867908, -53863792, -59696
5, -173495, -170760, -53867908, -53863792, -59696
6, -173495, -170760, -53867908, -53863792, -59696
7, -173495, -170760, -53867908, -53863792, -59696
8, -1147787, -1148287, 4182143, 4177345, 10925
9, -1147787, -1148287, 4182143, 4177345, 10925
10, -1147787, -1148287, 4182143, 4177345, 10925
11, -1147787, -1148287, 4182143, 4177345, 10925
12, -1147787, -1148287, 4182143, 4177345, 10925
13, -1147787, -1148287, 4182143, 4177345, 10925
14, -1147787, -1148287, 4182143, 4177345, 10925
15, -1147787, -1148287, 4182143, 4177345, 10925
16, -776373, -776069, -4951458, -4950435, -6638
17, -776373, -776069, -4951458, -4950435, -6638
18, -776373, -776069, -4951458, -4950435, -6638
19, -776373, -776069, -4951458, -4950435, -6638
20, -905858, -905548, -6741907, -6742061, -6772
21, -905858, -905548, -6741907, -6742061, -6772
22, -905858, -905548, -6741907, -6742061, -6772
23, -905858, -905548, -6741907, -6742061, -6772
24, -1017497, -1017556, 522006, 521086, 1291
25, -1017497, -1017556, 522006, 521086, 1291
26, -1017497, -1017556, 522006, 521086, 1291
27, -1017497, -1017556, 522006, 521086, 1291
28, -997546, -997538, -42414, -41669, -182
29, -997546, -997538, -42414, -41669, -182
30, -997546, -997538, -42414, -41669, -182
31, -997546, -997538, -42414, -41669, -182
32, -1000322, -1000323, 4119, 3333, 23
33, -1000322, -1000323, 4119, 3333, 23
34, -1000322, -1000323, 4119, 3333, 23
35, -1000322, -1000323, 4119, 3333, 23
36, -999974, -999974, 118, 199, -2
37, -999974, -999974, 118, 199, -2
38, -999974, -999974, 118, 199, -2
39, -999974, -999974, 118, 199, -2
40, -1000006, -1000006, 399, 155, 0
41, -1000006, -1000006, 399, 155, 0
42, -1000006, -1000006, 399, 155, 0
43, -1000006, -1000006, 399, 155, 0
44, -1000006, -1000006, -74, -47, 0
45, -1000006, -1000006, -74, -47, 0
46, -1000006, -1000006, -74, -47, 0
47, -1000006, -1000006, -74, -47, 0
48, -1000006, -1000006, 517, 404, 0
49, -1000006, -1000006, 517, 404, 0
50, -1000006, -1000006, 517, 404, 0
51, -1000006, -1000006, 517, 404, 0
52, -1000006, -1000006, -70, -44, 0
53, -1000006, -1000006, -70, -44, 0
54, -1000006, -1000006, -70, -44, 0
55, -1000006, -1000006, -70, -44, 0
56, -1000006, -1000006, 512, 400, 0
57, -1000006, -1000006, 512, 400, 0
58, -1000006, -1000006, 512, 400, 0
59, -1000006, -1000006, 512, 400, 0
60, -1000006, -1000006, -71, -45, 0
61, -1000006, -1000006, -71, -45, 0
62, -1000006, -1000006, -71, -45, 0
63, -1000006, -1000006, -71, -45, 0
64, -1000006, -1000006, 512, 400, 0
65, -1000006, -1000006, 512, 400, 0
66, -1000006, -1000006, 512, 400, 0
67, -1000006, -1000006, 512, 400, 0
68, -1000006, -1000006, -71, -45, 0
69, -1000006, -1000006, -71, -45, 0
70, -1000006, -1000006, -71, -45, 0
71, -1000006, -1000006, -71, -45, 0
72, -1000006, -1000006, 512, 400, 0
73, -1000006, -1000006, 512, 400, 0
74, -1000006, -1000006, 512, 400, 0
75, -1000006, -1000006, 512, 400, 0
76, -1000006, -1000006, -71, -45, 0
77, -1000006, -1000006, -71, -45, 0
78, -1000006, -1000006, -71, -45, 0
79, -1000006, -1000006, -71, -45, 0
80, -1000006, -1000006, 512, 400, 0
81, -1000006, -1000006, 512, 400, 0
82, -1000006, -1000006, 512, 400, 0
83, -1000006, -1000006, 512, 400, 0
84, -1000006, -1000006, -71, -45, 0
85, -1000006, -1000006, -71, -45, 0
86, -1000006, -1000006, -71, -45, 0
87, -1000006, -1000006, -71, -45, 0
88, -1000006, -1000006, 512, 400, 0
89, -1000006, -1000006, 512, 400, 0
90, -1000006, -1000006, 512, 400, 0
91, -1000006, -1000006, 512, 400, 0
92, -1000006, -1000006, -71, -45, 0
93, -1000006, -1000006, -71, -45, 0
94, -1000006, -1000006, -71, -45, 0
95, -1000006, -1000006, -71, -45, 0
96, -1000006, -1000006, 512, 400, 0
97, -1000006, -1000006, 512, 400, 0
98, -1000006, -1000006, 512, 400, 0
99, -1000006, -1000006, 512, 400, 0
100, -1000006, -1000006, -71, -45, 0
101, -1000006, -1000006, -71, -45, 0
102, -1000006, -1000006, -71, -45, 0
103, -1000006, -1000006, -71, -45, 0
104, -1000006, -1000006, 512, 400, 0
105, -1000006, -1000006, 512, 400, 0
106, -1000006, -1000006, 512, 400, 0
107, -1000006, -1000006, 512, 400, 0
108, -1000006, -1000006, -71, -45, 0
109, -1000006, -1000006, -71, -45, 0
110, -1000006, -1000006, -71, -45, 0
111, -1000006, -1000006, -71, -45, 0
112, -1000006, -1000006, 512, 400, 0
113, -1000006, -1000006, 512, 400, 0
114, -1000006, -1000006, 512, 400, 0
115, -1000006, -1000006, 512, 400, 0
116, -1000006, -1000006, -71, -45, 0
117, -1000006, -1000006, -71, -45, 0
118, -1000006, -1000006, -71, -45, 0
119, -1000006, -1000006, -71, -45, 0
120, -1000006, -1000006, 512, 400, 0
121, -1000006, -1000006, 512, 400, 0
122, -1000006, -1000006, 512, 400, 0
123, -1000006, -1000006, 512, 400, 0
124, -1000006, -1000006, -71, -45, 0
125, -1000006, -1000006, -71, -45, 0
126, -1000006, -1000006, -71, -45, 0
127, -1000006, -1000006, -71, -45, 0
128, -1000006, -1000006, 512, 400, 0
129, -1000006, -1000006, 512, 400, 0
130, -1000006, -1000006, 512, 400, 0
131, -1000006, -1000006, 512, 400, 0
132, -1000006, -1000006, -71, -45, 0
133, -1000006, -1000006, -71, -45, 0
134, -1000006, -1000006, -71, -45, 0
135, -1000006, -1000006, -71, -45, 0
136, -1000006, -1000006, 512, 400, 0
137, -1000006, -1000006, 512, 400, 0
138, -1000006, -1000006, 512, 400, 0
139, -1000006, -1000006, 512, 400, 0
140, -1000006, -1000006, -71, -45, 0
141, -1000006, -1000006, -71, -45, 0
142, -1000006, -1000006, -71, -45, 0
143, -1000006, -1000006, -71, -45, 0
144, -1000006, -1000006, 512, 400, 0
145, -1000006, -1000006, 512, 400, 0
146, -1000006, -1000006, 512, 400, 0
147, -1000006, -1000006, 512, 400, 0
148, -1000006, -1000006, -71, -45, 0
149, -1000006, -1000006, -71, -45, 0
150, -1000006, -1000006, -71, -45, 0
151, -1000006, -1000006, -71, -45, 0
152, -1000006, -1000006, 512, 400, 0
153, -1000006, -1000006, 512, 400, 0
154, -1000006, -1000006, 512, 400, 0
155, -1000006, -1000006, 512, 400, 0
156, -1000006, -1000006, -71, -45, 0
157, -1000006, -1000006, -71, -45, 0
158, -1000006, -1000006, -71, -45, 0
159, -1000006, -1000006, -71, -45, 0
160, -1000006, -1000006, 512, 400, 0
161, -1000006, -1000006, 512, 400, 0
162, -1000006, -1000006, 512, 400, 0
163, -1000006, -1000006, 512, 400, 0
164, -1000006, -1000006, -71, -45, 0
165, -1000006, -1000006, -71, -45, 0
166, -1000006, -1000006, -71, -45, 0
167, -1000006, -1000006, -71, -45, 0
168, -1000006, -1000006, 512, 400, 0
169, -1000006, -1000006, 512, 400, 0
170, -1000006, -1000006, 512, 400, 0
171, -1000006, -1000006, 512, 400, 0
172, -1000006, -1000006, -71, -45, 0
173, -1000006, -1000006, -71, -45, 0
174, -1000006, -1000006, -71, -45, 0
175, -1000006, -1000006, -71, -45, 0
176, -1000006, -1000006, 512, 400, 0
177, -1000006, -1000006, 512, 400, 0
178, -1000006, -1000006, 512, 400, 0
179, -1000006, -1000006, 512, 400, 0
180, -1000006, -1000006, -71, -45, 0
181, -1000006, -1000006, -71, -45, 0
182, -1000006, -1000006, -71, -45, 0
183, -1000006, -1000006, -71, -45, 0
184, -1000006, -1000006, 512, 400, 0
185, -1000006, -1000006, 512, 400, 0
186, -1000006, -1000006, 512, 400, 0
187, -1000006, -1000006, 512, 400, 0
188, -1000006, -1000006, -71, -45, 0
189, -1000006, -1000006, -71, -45, 0
190, -1000006, -1000006, -71, -45, 0
191, -1000006, -1000006, -71, -45, 0
192, -1000006, -1000006, 512, 400, 0
193, -1000006, -1000006, 512, 400, 0
194, -1000006, -1000006, 512, 400, 0
195, -1000006, -1000006, 512, 400, 0
196, -1000006, -1000006, -71, -45, 0
197, -1000006, -1000006, -71, -45, 0
198, -1000006, -1000006, -71, -45, 0
199, -1000006, -1000006, -71, -45, 0
200, -1000006, -1000006, 512, 400, 0
201, -1000006, -1000006, 512, 400, 0
202, -1000006, -1000006, 512, 400, 0
203, -1000006, -1000006, 512, 400, 0
204, -1000006, -1000006, -71, -45, 0
205, -1000006, -1000006, -71, -45, 0
206, -1000006, -1000006, -71, -45, 0
207, -1000006, -1000006, -71, -45, 0
208, -1000006, -1000006, 512, 400, 0
209, -1000006, -1000006, 512, 400, 0
210, -1000006, -1000006, 512, 400, 0
211, -1000006, -1000006, 512, 400, 0
212, -1000006, -1000006, -71, -45, 0
213, -1000006, -1000006, -71, -45, 0
