k, s0, s1, s2, s3, s4
0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0
3, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 0
5, 0, 0, 0, 0, 0
6, 0, 0, 0, 0, 0
7, 0, 0, 0, 0, 0
8, -173495, -170760, -53867908, -53863792, -59696
9, -173495, -170760, -53867908, -53863792, -59696
10, -173495, -170760, -53867908, -53863792, -59696
11, -173495, -170760, -53867908, -53863792, -59696
12, -173495, -170760, -53867908, -53863792, -59696
13, -173495, -170760, -53867908, -53863792, -59696
14, -173495, -170760, -53867908, -53863792, -59696
15, -173495, -170760, -53867908, -53863792, -59696
16, -2261616, -2263331, 28113452, 28108044, 37447
17, -2261616, -2263331, 28113452, 28108044, 37447
18, -2261616, -2263331, 28113452, 28108044, 37447
19, -2261616, -2263331, 28113452, 28108044, 37447
20, -1533077, -1534793, 37351332, 37351140, 37447
21, -1533077, -1534793, 37351332, 37351140, 37447
22, -1533077, -1534793, 37351332, 37351140, 37447
23, -1533077, -1534793, 37351332, 37351140, 37447
24, -786055, -787771, 37351552, 37351764, 37447
25, -786055, -787771, 37351552, 37351764, 37447
26, -786055, -787771, 37351552, 37351764, 37447
27, -786055, -787771, 37351552, 37351764, 37447
28, -39023, -40738, 37351656, 37351644, 37447
29, -39023, -40738, 37351656, 37351644, 37447
30, -39023, -40738, 37351656, 37351644, 37447
31, -39023, -40738, 37351656, 37351644, 37447
32, 321351, 325730, -82701032, -82691936, -95596
33, 321351, 325730, -82701032, -82691936, -95596
34, 321351, 325730, -82701032, -82691936, -95596
35, 321351, 325730, -82701032, -82691936, -95596
36, -1232572, -1233360, 6430926, 6423417, 17200
37, -1232572, -1233360, 6430926, 6423417, 17200
38, -1232572, -1233360, 6430926, 6423417, 17200
39, -1232572, -1233360, 6430926, 6423417, 17200
40, -1232572, -1233360, 6430926, 6423417, 17200
41, -1232572, -1233360, 6430926, 6423417, 17200
42, -1232572, -1233360, 6430926, 6423417, 17200
43, -1232572, -1233360, 6430926, 6423417, 17200
44, -648141, -647662, -7790253, -7788465, -10445
45, -648141, -647662, -7790253, -7788465, -10445
46, -648141, -647662, -7790253, -7788465, -10445
47, -648141, -647662, -7790253, -7788465, -10445
48, -851875, -851387, -10607414, -10608041, -10654
49, -851875, -851387, -10607414, -10608041, -10654
50, -851875, -851387, -10607414, -10608041, -10654
51, -851875, -851387, -10607414, -10608041, -10654
52, -851875, -851387, -10607414, -10608041, -10654
53, -851875, -851387, -10607414, -10608041, -10654
54, -851875, -851387, -10607414, -10608041, -10654
55, -851875, -851387, -10607414, -10608041, -10654
56, -1226464, -1226772, 5051500, 5050966, 6721
57, -1226464, -1226772, 5051500, 5050966, 6721
58, -1226464, -1226772, 5051500, 5050966, 6721
59, -1226464, -1226772, 5051500, 5050966, 6721
60, -1095308, -1095622, 6824826, 6824476, 6854
61, -1095308, -1095622, 6824826, 6824476, 6854
62, -1095308, -1095622, 6824826, 6824476, 6854
63, -1095308, -1095622, 6824826, 6824476, 6854
64, -1095308, -1095622, 6824826, 6824476, 6854
65, -1095308, -1095622, 6824826, 6824476, 6854
66, -1095308, -1095622, 6824826, 6824476, 6854
67, -1095308, -1095622, 6824826, 6824476, 6854
68, -854335, -854137, -3249883, -3249060, -4323
69, -854335, -854137, -3249883, -3249060, -4323
70, -854335, -854137, -3249883, -3249060, -4323
71, -854335, -854137, -3249883, -3249060, -4323
72, -938721, -938518, -4388807, -4389543, -4408
73, -938721, -938518, -4388807, -4389543, -4408
74, -938721, -938518, -4388807, -4389543, -4408
75, -938721, -938518, -4388807, -4389543, -4408
76, -1011403, -1011441, 340276, 339475, 841
77, -1011403, -1011441, 340276, 339475, 841
78, -1011403, -1011441, 340276, 339475, 841
79, -1011403, -1011441, 340276, 339475, 841
80, -998415, -998409, -27054, -26995, -118
81, -998415, -998409, -27054, -26995, -118
82, -998415, -998409, -27054, -26995, -118
83, -998415, -998409, -27054, -26995, -118
84, -998415, -998409, -27054, -26995, -118
85, -998415, -998409, -27054, -26995, -118
86, -998415, -998409, -27054, -26995, -118
87, -998415, -998409, -27054, -26995, -118
88, -1002429, -1002432, 53487, 53214, 71
89, -1002429, -1002432, 53487, 53214, 71
90, -1002429, -1002432, 53487, 53214, 71
91, -1002429, -1002432, 53487, 53214, 71
92, -1001038, -1001042, 73547, 73707, 74
93, -1001038, -1001042, 73547, 73707, 74
94, -1001038, -1001042, 73547, 73707, 74
95, -1001038, -1001042, 73547, 73707, 74
96, -1001038, -1001042, 73547, 73707, 74
97, -1001038, -1001042, 73547, 73707, 74
98, -1001038, -1001042, 73547, 73707, 74
99, -1001038, -1001042, 73547, 73707, 74
100, -998449, -998447, -34960, -34761, -46
101, -998449, -998447, -34960, -34761, -46
102, -998449, -998447, -34960, -34761, -46
103, -998449, -998447, -34960, -34761, -46
104, -999357, -999355, -46464, -46303, -46
105, -999357, -999355, -46464, -46303, -46
106, -999357, -999355, -46464, -46303, -46
107, -999357, -999355, -46464, -46303, -46
108, -1000128, -1000129, 4118, 3490, 9
109, -1000128, -1000129, 4118, 3490, 9
110, -1000128, -1000129, 4118, 3490, 9
111, -1000128, -1000129, 4118, 3490, 9
112, -1000128, -1000129, 4118, 3490, 9
113, -1000128, -1000129, 4118, 3490, 9
114, -1000128, -1000129, 4118, 3490, 9
115, -1000128, -1000129, 4118, 3490, 9
116, -999827, -999827, -3947, -4063, -5
117, -999827, -999827, -3947, -4063, -5
118, -999827, -999827, -3947, -4063, -5
119, -999827, -999827, -3947, -4063, -5
120, -999925, -999925, -4824, -5120, -4
121, -999925, -999925, -4824, -5120, -4
122, -999925, -999925, -4824, -5120, -4
123, -999925, -999925, -4824, -5120, -4
124, -1000007, -1000007, 411, -232, 0
125, -1000007, -1000007, 411, -232, 0
126, -1000007, -1000007, 411, -232, 0
127, -1000007, -1000007, 411, -232, 0
128, -1000007, -1000007, 411, -232, 0
129, -1000007, -1000007, 411, -232, 0
130, -1000007, -1000007, 411, -232, 0
131, -1000007, -1000007, 411, -232, 0
132, -1000006, -1000006, -338, -253, 0
133, -1000006, -1000006, -338, -253, 0
134, -1000006, -1000006, -338, -253, 0
135, -1000006, -1000006, -338, -253, 0
136, -1000006, -1000006, 769, 597, 0
137, -1000006, -1000006, 769, 597, 0
138, -1000006, -1000006, 769, 597, 0
139, -1000006, -1000006, 769, 597, 0
140, -1000006, -1000006, 769, 597, 0
141, -1000006, -1000006, 769, 597, 0
142, -1000006, -1000006, 769, 597, 0
143, -1000006, -1000006, 769, 597, 0
144, -1000006, -1000006, -538, -406, 0
145, -1000006, -1000006, -538, -406, 0
146, -1000006, -1000006, -538, -406, 0
147, -1000006, -1000006, -538, -406, 0
148, -1000016, -1000016, 959, 742, 1
149, -1000016, -1000016, 959, 742, 1
150, -1000016, -1000016, 959, 742, 1
151, -1000016, -1000016, 959, 742, 1
152, -1000016, -1000016, 83, 86, 0
153, -1000016, -1000016, 83, 86, 0
154, -1000016, -1000016, 83, 86, 0
155, -1000016, -1000016, 83, 86, 0
156, -1000016, -1000016, 1010, 794, 1
157, -1000016, -1000016, 1010, 794, 1
158, -1000016, -1000016, 1010, 794, 1
159, -1000016, -1000016, 1010, 794, 1
160, -1000016, -1000016, 83, 85, 0
161, -1000016, -1000016, 83, 85, 0
162, -1000016, -1000016, 83, 85, 0
163, -1000016, -1000016, 83, 85, 0
164, -1000016, -1000016, 1010, 794, 1
165, -1000016, -1000016, 1010, 794, 1
166, -1000016, -1000016, 1010, 794, 1
167, -1000016, -1000016, 1010, 794, 1
168, -1000016, -1000016, 83, 85, 0
169, -1000016, -1000016, 83, 85, 0
170, -1000016, -1000016, 83, 85, 0
171, -1000016, -1000016, 83, 85, 0
172, -1000016, -1000016, 83, 85, 0
173, -1000016, -1000016, 83, 85, 0
174, -1000016, -1000016, 83, 85, 0
175, -1000016, -1000016, 83, 85, 0
176, -1000016, -1000016, 474, 372, 0
177, -1000016, -1000016, 474, 372, 0
178, -1000016, -1000016, 474, 372, 0
179, -1000016, -1000016, 474, 372, 0
180, -1000016, -1000016, 520, 418, 0
181, -1000016, -1000016, 520, 418, 0
182, -1000016, -1000016, 520, 418, 0
183, -1000016, -1000016, 520, 418, 0
184, -1000016, -1000016, 574, 461, 0
185, -1000016, -1000016, 574, 461, 0
186, -1000016, -1000016, 574, 461, 0
187, -1000016, -1000016, 574, 461, 0
188, -1000016, -1000016, 519, 419, 0
189, -1000016, -1000016, 519, 419, 0
190, -1000016, -1000016, 519, 419, 0
191, -1000016, -1000016, 519, 419, 0
192, -1000016, -1000016, 519, 419, 0
193, -1000016, -1000016, 519, 419, 0
194, -1000016, -1000016, 519, 419, 0
195, -1000016, -1000016, 519, 419, 0
196, -1000016, -1000016, 38, 39, 0
197, -1000016, -1000016, 38, 39, 0
198, -1000016, -1000016, 38, 39, 0
199, -1000016, -1000016, 38, 39, 0
200, -1000016, -1000016, -6, -5, 0
201, -1000016, -1000016, -6, -5, 0
202, -1000016, -1000016, -6, -5, 0
203, -1000016, -1000016, -6, -5, 0
